tja	NORM_1WORD
,	O
ich	O
biin	NORM_1WORD
es	O
gewöhnt	O
das	NORM_1WORD
ich	O
viel	O
%NegSmiley	O
,	O
deshalb	O
trage	O
cih	NORM_1WORD
keins	O
.	O

Türchen	O
No.	O
3	O
:	O
%Link	O

Bin	O
gespannt	O
,	O
ob	O
ich	O
enttäuscht	O
werd	NORM_1WORD
oder	O
nicht	O
%PosSmiley	O

der	NORM_1WORD
Billy	O
Joel	O
wär	NORM_1WORD
jetzt	O
nicht	O
nötig	O
gewesen	O
.	O

Bei	O
Joghurt	O
aber	O
auf	O
den	O
Zuckergehalt	O
achten	O
.	O

Ähm	O
...	O

Wir	O
sind	O
musiker	NORM_1WORD
und	O
ficken	O
nur	O
dumme	O
frauen	NORM_1WORD
.	O

AKs	O
!	O

-bayern-online	O

Oh	O
,	O
top	O
!	O

war	O
grad	NORM_1WORD
weg	O

aber	NORM_1WORD
dm	O
ist	O
schöner	O

hier	NORM_1WORD
gibts	NORM_2WORD
bier	NORM_1WORD
und	O
das	O
schmeckt	O
mir	O
.	O
(	O
Bar	O
Gagarin	O
)	O

Spontant	NORM_1WORD
und	O
guenstig	NORM_1WORD
die	O
Freunde	O
im	O
Ausland	O
besuchen	O
:	O
%Link	O
%PosSmiley	O

die	NORM_1WORD
therme	NORM_1WORD
ist	O
nich	NORM_1WORD
...	O

morgens	NORM_1WORD
immer	O
grosse	O
aufräumaktion	NORM_1WORD
im	O
kopf	NORM_1WORD
.	O

ich	NORM_1WORD
habs	NORM_2WORD
versaut	O
!	O
"	O

An	O
so	O
nem	NORM_1WORD
schönen	O
Tag	O
lässt	O
Burda	O
himself	O
im	O
Erdgeschoss	O
neue	O
Barcelona-Chairs	O
durch	O
die	O
Gegend	O
schieben	O
.	O

"	O
Du	O
,	O
mein	O
Zweitschreibtisch	O
ist	O
zu	O
klein	O
!	O
"	O

Und	O
wenn	O
ich	O
nach	O
Süden	O
sehe	O
,	O
dann	O
seh	NORM_1WORD
ich	O
St	NORM_1WORD
Maximilian	O
.	O

Es	O
wär	NORM_1WORD
schön	O
,	O
man	O
könnte	O
dasselbe	O
aus	O
Russland	O
vermelden	O
,	O
dass	O
Putin	O
aufgibt	O
.	O

ich	NORM_1WORD
lad	NORM_1WORD
dich	O
dann	O
in	O
der	O
gruppe	O
ein	O
%PosSmiley	O
xx	O

ach	NORM_1WORD
was	O
,	O
nur	O
bei	O
Sozialtypen	O
,	O
FH'lern	O
und	O
anderen	O
bestimmten	O
Menschen	O

moni	NORM_1WORD
früehner	NORM_1WORD
ufstoh	NORM_1WORD
%PosSmiley	O

Ik	O
deed	O
net	NORM_1WORD
pizzabrood	O
in	O
den	O
oven	O
.	O

Land	O
Cruiser	O
J7	O
Re	O
:	O
HZJ76	O
mit	O
Klappdach	O

kingt	NORM_1WORD
schrecklich	O
...	O

Hmmm	O
,	O
Rewe	O
haben	O
wir	O
hier	O
so	O
gut	O
wie	O
garnicht	NORM_2WORD
.	O

Savas	O
war	O
2002	O
ja	O
auch	O
in	O
'	NORM_1WORD

Dafür	O
bekomm	NORM_1WORD
ich	O
alles	O
,	O
was	O
ich	O
will	O
..	O

"	O
Und	O
was	O
machst	O
du	O
heut	NORM_1WORD
noch	O
so	O
?	O
