Sangkal	NORM_1WORD
Putung	NORM_1WORD
hadirr...	NORM_1WORD
?	O

Luar	NORM_1WORD
biasa	O
kak	O
.	O
padahal	O
aku	O
awalnya	O
gak	NORM_1WORD
percaya	O
kalau	O
produk	O
dari@BEAUTYANDHEALTHYY	NORM_1WORD
bisa	O
bikin	O
payudara	O
aku	O
tambah	O
besar&indah	O
ka	NORM_1WORD
padahal	O
baru	O
pakai	O
2minggu	O
kurang	O
ka	NORM_1WORD

Gw	NORM_1WORD
baru	O
stalking	O
skrg	NORM_1WORD
wkwk	O
@91tar	NORM_1WORD

@veloveputrii	NORM_1WORD
yg	NORM_1WORD
goblok	O
dan	O
gk	NORM_1WORD
ada	O
otak,	O
otak	O
udang	O
cm	NORM_1WORD
0,1%	O
itu	O
elo.	NORM_1WORD
Emang	NORM_1WORD
utk	NORM_1WORD
tau	O
smua	NORM_1WORD
hrs	NORM_1WORD
jd	NORM_1WORD
babunya	O
dhani	O
maia	O
dlu??	NORM_1WORD
Skrg	NORM_1WORD
jaman	O
udh	NORM_1WORD
canggih	O
dan	O
gampang	O
jalin	O
relasi	O
buat	O
tau	O
ttg	NORM_1WORD
sesuatu	O
gw	NORM_1WORD
mang	NORM_1WORD
ckup	NORM_1WORD
tau	O
ttg	NORM_1WORD
kbiasaan	NORM_1WORD
dhani	O
yg	NORM_1WORD
doyan	O
perempuan	O
itu	O
udh	NORM_1WORD
lama	O
tp	NORM_1WORD
yg	NORM_1WORD
difitnah	O
malah	O
maia.	O
Intinya	NORM_1WORD
ya	O
otak	O
udang	O
lo	O
liat	NORM_1WORD
aja	NORM_1WORD
skrg	NORM_1WORD
sapa	O
yg	NORM_1WORD
hdpnya	NORM_1WORD
lbh	NORM_1WORD
enak	O
dan	O
bahagia	O
dan	O
yg	NORM_1WORD
gk	NORM_1WORD
byk	NORM_1WORD
ngomong.	NORM_1WORD
Si	NORM_1WORD
dhani	O
rmh	NORM_1WORD
aja	NORM_1WORD
pake	NORM_1WORD
pny	NORM_1WORD
anknya	NORM_1WORD
Al,	NORM_1WORD
job	O
sepi,	O
cari	O
sensasi	O
mulu	O
utk	NORM_1WORD
pngalihan	O
issue,	O
dll	O
