@DDaanV	O
oooh	NORM_1WORD
nais	O
=D	O
dn	NORM_1WORD
week	NORM_2WORD
da	NORM_1WORD
glijk	NORM_1WORD
=p	O

@DDaanV	O
omg	NORM_1WORD
xD	O
nou	O
kzat	NORM_2WORD
in	O
het	O
witre	NORM_1WORD
huis	O
maarja	O
geo	O
locaties	O
falen	O
ss	NORM_1WORD
beswll	NORM_2WORD
=p	O

Oei	O
,	O
vergeten	O
fuk	O
.	O
Tzal	NORM_2WORD
voor	O
morgen	O
zijn	O
vrees	O
ik	O

kzou	NORM_2WORD
ook	O
nog	O
eens	O
e	NORM_1WORD
goe	NORM_1WORD
heet	O
vrouwke	NORM_1WORD
moete	NORM_1WORD
hebbe	NORM_1WORD
e	O

@SBSTROP	O
ik	NORM_1WORD
hoo	NORM_1WORD
rnu	NORM_1WORD
oom	O
dagobert	NORM_1WORD
duck	NORM_1WORD
,	O
oftewel	O
wethouder	O
Gert-Jan	O
't	O
Hart	O

Ikkuhh	NORM_1WORD
wil	O
niet	O
veel	O
zeggen	O
maarruuhh	NORM_1WORD
kuchkucg	NORM_2WORD
monsif	O
kuchkuch	NORM_2WORD

neje	NORM_1WORD
bg	O
;)	O
en	O
noky	O
...	O
bwa	NORM_1WORD
....	O
derbovenop	NORM_2WORD
zenk	O
zelf	O
ook	O
nog	O
betje	NORM_1WORD
kieskeurig	O
:p	O

Doen	O
eh	O
xp	O

tregent	NORM_2WORD
ierts	NORM_1WORD
teveel	O
we	O
zulln	NORM_1WORD
later	O
vertrekkn	NORM_1WORD

Ge	NORM_1WORD
het	NORM_1WORD
so'n	NORM_1WORD
lekker	O
kuntje	NORM_1WORD

RT	O
@Boodskapper707	O
:	O
Toe	NORM_1WORD
ek	NORM_1WORD
n	NORM_1WORD
laaitie	O
was	O
,	O
en	O
ons	O
toilette	NORM_1WORD
was	O
buite	NORM_1WORD
werking	O
,	O
of	O
die	O
bus	O
het	O
gebreek	NORM_1WORD
of	O
wat	O
ookal	NORM_2WORD
die	O
nood	O
was	O
,	O
het	O
die	O
skool	NORM_1WORD
iets	O
gedoen	NORM_1WORD
en	O
n	NORM_1WORD
fonds	O
insameling	NORM_1WORD
gehou	NORM_1WORD
.	O
En	O
glo	NORM_1WORD
my	NORM_1WORD
,	O
daar	O
was	O
seker	NORM_1WORD
max	NORM_1WORD
23	O
ryk	NORM_1WORD
kinders	NORM_1WORD
in	O
my	NORM_1WORD
skool	NORM_1WORD
,	O
want	O
almal	NORM_1WORD
se	NORM_1WORD
ouers	NORM_1WORD
was	NORM_1WORD
fabriek	O
werkers	O
.	O

Neeje	NORM_1WORD
,	O
ik	O
blijf	O
op	O
kot	O
leren	O
denkek	NORM_2WORD
,	O
