language,stage,old_count,new_count,old_err,new_err,delta_err,old_f1,new_f1,delta_f1,old_precision,new_precision,delta_precision,old_recall,new_recall,delta_recall
de,detector,4860,4860,0.683848797250859,0.6884306987399773,0.004581901489118301,0.8380281690140845,0.8357487922705313,-0.002279376743553163,0.8592057761732852,0.8837803320561941,0.02457455588290891,0.8178694158075601,0.7926689576174112,-0.025200458190148933
de,dictionary_source,202,196,0.7905759162303665,0.7967914438502673,0.006215527619900851,0.8901098901098902,0.8926553672316384,0.002545477121748241,0.801980198019802,0.8061224489795918,0.004142250959789817,1.0,1.0,0.0
de,llm_source,629,587,0.5296367112810707,0.5188118811881188,-0.010824830092951876,0.7399577167019029,0.7203682393555813,-0.01958947734632166,0.6272401433691757,0.6400817995910021,0.012841656221826425,0.9020618556701031,0.8236842105263158,-0.07837764514378731
de,overall_final,4860,4860,0.49026345933562415,0.47079037800687246,-0.019473081328751696,0.697072838665759,0.6709401709401709,-0.026132667725588088,0.6736842105263158,0.6875912408759124,0.013907030349596616,0.7221438645980254,0.655076495132128,-0.06706736946589742
en,detector,9169,9169,0.6556082148499206,0.6682464454976301,0.012638230647709525,0.8236245954692558,0.832,0.008375404530744146,0.8441127694859039,0.8427876823338736,-0.0013250871520302798,0.8041074249605056,0.8214849921011058,0.017377567140600236
en,dictionary_source,365,377,0.9577464788732394,0.9534246575342465,-0.004321821338992837,0.9790209790209791,0.9769335142469471,-0.0020874647740319885,0.958904109589041,0.9549071618037135,-0.003996947785327554,1.0,1.0,0.0
en,llm_source,238,240,0.11688311688311682,0.14193548387096777,0.025052366987850946,0.5976331360946745,0.6122448979591837,0.014611761864509187,0.4353448275862069,0.45454545454545453,0.019200626959247624,0.9528301886792453,0.9375,-0.015330188679245293
en,overall_final,9169,9169,0.5655608214849915,0.5845181674565567,0.018957345971565176,0.7663551401869159,0.779547359597653,0.013192219410737116,0.7554438860971524,0.7648026315789473,0.009358745481794939,0.7775862068965518,0.7948717948717948,0.017285587975243044
hr,detector,18941,18941,0.6131907308377897,0.6232917409387996,0.010101010101009833,0.7932677040330264,0.793485342019544,0.0002176379865176381,0.8519781718963165,0.8781542898341744,0.0261761179378579,0.7421271538918598,0.7237076648841355,-0.018419489007724277
hr,dictionary_source,583,580,0.9686411149825784,0.9738219895287958,0.005180874546217407,0.9843205574912891,0.9868995633187774,0.0025790058274882677,0.9691252144082333,0.9741379310344828,0.005012716626249469,1.0,1.0,0.0
