language,overall_final_delta_err,overall_final_delta_f1,detector_delta_err,detector_delta_f1,dictionary_source_delta_err,dictionary_source_delta_f1,llm_source_delta_err,llm_source_delta_f1,overall_result
de,-0.019473081328751696,-0.026132667725588088,0.004581901489118301,-0.002279376743553163,0.006215527619900851,0.002545477121748241,-0.010824830092951876,-0.01958947734632166,worse
en,0.018957345971565176,0.013192219410737116,0.012638230647709525,0.008375404530744146,-0.004321821338992837,-0.0020874647740319885,0.025052366987850946,0.014611761864509187,improved
hr,0.009506833036244167,-0.0007768643413944565,0.010101010101009833,0.0002176379865176381,0.005180874546217407,0.0025790058274882677,0.038931955211025104,0.012413784176200648,mixed
id,0.010209042294603843,0.0063046815386839095,0.0,0.0,0.0,0.0,0.024881516587677704,0.02106579943444331,improved
iden,-0.05299145299145369,-0.025564898577292494,-0.022222222222222254,-0.006629235703292213,0.0006664001066239988,0.0003157806096670823,-0.24978354978354983,-0.12486772486772474,worse
ja,0.02635431918008657,0.001906072960237204,0.0571010248901902,0.02545053191982727,0.0034572169403630504,0.0,0.03584349457322797,-0.002510422228028053,improved
ko,0.03012048192771042,-0.0639759189383983,-0.012048192771083432,-0.052479210159052214,0.02352941176470591,0.009090909090909038,0.014412416851441234,-0.09599999999999999,mixed
nl,-0.020128087831656094,-0.016910054678089148,-0.021957913998170264,-0.01116753077841326,-0.01612296896537313,-0.007401527263782848,-0.02165734053916174,-0.02050867347249008,worse
sl,-0.004600585529067058,-0.003439655631114924,0.0,0.0,0.0,0.0,-0.011739594450373564,-0.011066267649729067,worse
sr,0.008082292432035176,0.00881661603082251,0.008817046289493646,0.009260164338200205,-0.004861928262409387,-0.0023781298896043968,-0.013833479290324635,-0.007473841554558991,improved
th,-0.0712468193384227,-0.008214963691553445,-0.039440203562339016,0.004318331001066933,-0.01878394017626628,-0.008723599632690537,-0.13704022149826856,-0.021057497551807358,worse
vi,0.008907641819034251,0.005950645312197245,0.010782934833567848,0.005973116648122501,-0.0006106694319621964,-0.00031439353137496795,0.011563596402336562,0.008967310078713098,improved
