#onokad	O=0.9999865293502808|NORM=1.2970642274012789e-05
slučajno	O=0.9999736547470093|NORM=2.5956431272788905e-05
u	O=0.9999881982803345|NORM=1.1484206879686099e-05
maminom	O=0.9997747540473938|NORM=0.00022416420688387007
ormaru	O=0.9993360638618469|NORM=0.0006530875689350069
pronađeš	O=0.9999666213989258|NORM=3.2970900065265596e-05
neke	O=0.9999780654907227|NORM=2.153026798623614e-05
kul	O=0.8804464936256409|NORM=0.11954375356435776
stvari	O=0.999768078327179|NORM=0.0002302434149896726
koje	O=0.9999839067459106|NORM=1.5607256500516087e-05
se	O=0.9999768733978271|NORM=2.2907963284524158e-05
uklapaju	O=0.9999597072601318|NORM=3.9561447920277715e-05
u	O=0.9999841451644897|NORM=1.562092984386254e-05
tvoj	O=0.9999252557754517|NORM=7.383504998870194e-05
odjevni	O=0.9990808963775635|NORM=0.0009185150847770274
stil	O=0.9998964071273804|NORM=0.00010214394569629803
:d	O=0.9999849796295166|NORM=1.4541945347446017e-05
#sreća	O=0.999993085861206|NORM=6.5661083681334276e-06

ima	O=0.9999786615371704|NORM=2.1170888430788182e-05
li	O=0.999975323677063|NORM=2.4380757167818956e-05
netko	O=0.9999594688415527|NORM=4.0288272430188954e-05
pozivnicu	O=0.9997943043708801|NORM=0.0002047175948973745
za	O=0.9999762773513794|NORM=2.3409880668623373e-05
http://t.co/plyfjzr7ov	O=0.9999642372131348|NORM=3.557326999725774e-05
(	O=0.9999879598617554|NORM=1.1746344171115197e-05
ili	O=0.9999663829803467|NORM=3.3130254450952634e-05
neki	O=0.9999586343765259|NORM=4.07898987759836e-05
drugi	O=0.9999490976333618|NORM=5.0270620704395697e-05
hr	O=0.997782289981842|NORM=0.0022130715660750866
tracker	O=0.999942421913147|NORM=5.702000271412544e-05
)	O=0.9999412298202515|NORM=5.74599725950975e-05
.	O=0.9999911785125732|NORM=8.072516720858403e-06

htio	O=0.9890927076339722|NORM=0.010901966132223606
sam	O=0.9999508857727051|NORM=4.862410423811525e-05
napisati	O=0.9999098777770996|NORM=8.926196460379288e-05
da	O=0.9999853372573853|NORM=1.4174192074278835e-05
mi	O=0.9999655485153198|NORM=3.408781049074605e-05
je	O=0.9999830722808838|NORM=1.6607740690233186e-05
goal	O=0.9996076226234436|NORM=0.0003896248817909509
za	O=0.9999734163284302|NORM=2.5578901841072366e-05
ljeto	O=0.999915599822998|NORM=8.356838225154206e-05
2014.	O=0.9998390674591064|NORM=0.00016004357894416898
da	O=0.999969482421875|NORM=2.9824532248312607e-05
imam	O=0.9999723434448242|NORM=2.6964164135279134e-05
bikini	O=0.9909738898277283|NORM=0.009022781625390053
bridge	O=0.9918580651283264|NORM=0.008137555792927742
,	O=0.9999842643737793|NORM=1.3618413504445925e-05
ali	O=0.9999767541885376|NORM=2.2968531993683428e-05
gle	O=0.9996140599250793|NORM=0.00038568145828321576
čuda	O=0.999934196472168|NORM=6.54329705866985e-05
,	O=0.9999780654907227|NORM=1.995372076635249e-05
ja	O=0.9999797344207764|NORM=2.0026656784466468e-05
ga	O=0.9999105930328369|NORM=8.576660184189677e-05
već	O=0.9999758005142212|NORM=2.3827029508538544e-05
imam	O=0.9999773502349854|NORM=2.2381644157576375e-05
!	O=0.999987006187439|NORM=1.1230311429244466e-05

danas	O=0.9999618530273438|NORM=3.678783104987815e-05
,	O=0.9999656677246094|NORM=3.174535231664777e-05
na	O=0.9999734163284302|NORM=2.6393330699647777e-05
prvu	O=0.999967098236084|NORM=3.2388594263466075e-05
subotu	O=0.9999502897262573|NORM=4.8231879191007465e-05
u	O=0.999975323677063|NORM=2.4402763301623054e-05
mjesecu	O=0.9993582367897034|NORM=0.0006367475725710392
,	O=0.9999845027923584|NORM=1.4209424080036115e-05
obnavljamo	O=0.9999377727508545|NORM=6.177870091050863e-05
posvetu	O=0.9993767142295837|NORM=0.0006206362158991396
naše	O=0.9999557733535767|NORM=4.3755542719736695e-05
župe	O=0.9999396800994873|NORM=5.992743535898626e-05
bezgrešnom	O=0.9982452392578125|NORM=0.0017533997306600213
srcu	O=0.9996052384376526|NORM=0.000393491965951398
marijinu	O=0.9996744394302368|NORM=0.0003237169294152409
i	O=0.9999850988388062|NORM=1.4722108062414918e-05
molimo	O=0.9998019337654114|NORM=0.00019731333304662257
za	O=0.9999676942825317|NORM=3.2117262890096754e-05
duhovna	O=0.9999364614486694|NORM=6.332633347483352e-05
zvanja	O=0.9999438524246216|NORM=5.5893808166729286e-05
.	O=0.9999728202819824|NORM=2.317051803402137e-05

jučer	O=0.9999542236328125|NORM=4.506020195549354e-05
išli	O=0.9994447827339172|NORM=0.0005514377844519913
u	O=0.9999706745147705|NORM=2.910990770033095e-05
trogir	O=0.9993176460266113|NORM=0.0006812735227867961
u	O=0.9999783039093018|NORM=2.132504596374929e-05
kupovinu	O=0.9999107122421265|NORM=8.869435987435281e-05
i	O=0.9999754428863525|NORM=2.4098808353301138e-05
ja	O=0.9999603033065796|NORM=3.946722063119523e-05
sve	O=0.9999533891677856|NORM=4.636947051039897e-05
špijam	O=0.6880499720573425|NORM=0.31182196736335754
di	NORM=0.9976910352706909|O=0.002176633570343256
ima	O=0.9999871253967285|NORM=1.2633143342100084e-05
wi-fi	O=0.9998205304145813|NORM=0.00017880146333482116
...	O=0.9999736547470093|NORM=2.5017465304699726e-05

utakmica	O=0.9998831748962402|NORM=0.00011615316907409579
je	O=0.9999808073043823|NORM=1.9031711417483166e-05
na	O=0.9999704360961914|NORM=2.9114953576936387e-05
rasporedu	O=0.9995797276496887|NORM=0.00041261198930442333
u	O=0.9999916553497314|NORM=8.04668616183335e-06
13	O=0.9999282360076904|NORM=6.922898319317028e-05
sati	O=0.9999700784683228|NORM=2.9476266718120314e-05
.	O=0.9999904632568359|NORM=8.506964150001295e-06

#predsjednickiizbori	O=0.9999840259552002|NORM=1.5686462575104088e-05

http://t.co/lvuyjfym6c	O=0.9999885559082031|NORM=1.1148417797812726e-05
http://t.co/tqethszw9b	O=0.9999884366989136|NORM=1.1340470337017905e-05
(	O=0.9999872446060181|NORM=1.1992563486273866e-05
via	O=0.9999446868896484|NORM=5.498318932950497e-05
@huffposttaste	O=0.9999922513961792|NORM=7.480882231902797e-06
)	O=0.9999861717224121|NORM=1.2991435141884722e-05

zamalo	O=0.9976779818534851|NORM=0.002314504235982895
sam	O=0.9998225569725037|NORM=0.00017702201148495078
se	O=0.9999500513076782|NORM=4.977605931344442e-05
onesvijestio	O=0.9998719692230225|NORM=0.0001277199189644307
od	O=0.9999386072158813|NORM=6.115953146945685e-05
nesrece	NORM=0.8958180546760559|O=0.10416515916585922
.	O=0.999990701675415|NORM=7.998509317985736e-06

bitcoin	O=0.9990977048873901|NORM=0.0009007035405375063
industrija	O=0.9999884366989136|NORM=1.1158637789776549e-05
širi	O=0.9999816417694092|NORM=1.7975642549572513e-05
se	O=0.9999902248382568|NORM=9.559856152918655e-06
u	O=0.9999880790710449|NORM=1.1599427125474904e-05
svim	O=0.9999864101409912|NORM=1.3101725016895216e-05
smjerovima	O=0.9999644756317139|NORM=3.4475546272005886e-05
-	O=0.9999736547470093|NORM=2.5468956664553843e-05
igare	O=0.8955506086349487|NORM=0.10444262623786926
na	O=0.9999597072601318|NORM=3.98656447941903e-05
sreću	O=0.9999394416809082|NORM=5.996841355226934e-05
,	O=0.9999867677688599|NORM=1.2517029063019436e-05
tzv.	O=0.999974250793457|NORM=2.534058876335621e-05
igaming	O=0.999864935874939|NORM=0.0001336757850367576
http://t.co/yp1o5a9b9q	O=0.9999886751174927|NORM=1.104118382500019e-05
#igaming	O=0.999984860420227|NORM=1.474406508350512e-05
#bitcoin	O=0.9999884366989136|NORM=1.1232940778427292e-05
@bitcoingg	O=0.9999865293502808|NORM=1.3185987882025074e-05

danas	O=0.9999805688858032|NORM=1.863841498561669e-05
i	O=0.9999802112579346|NORM=1.9613298718468286e-05
sutra	O=0.9999611377716064|NORM=3.8402875361498445e-05
sunčano	O=0.9999297857284546|NORM=6.902683526277542e-05
i	O=0.9999784231185913|NORM=2.1316282072803006e-05
vruće	O=0.9999533891677856|NORM=4.625533983926289e-05
,	O=0.9999877214431763|NORM=1.1329662811476737e-05
ali	O=0.9999637603759766|NORM=3.594551526475698e-05
kasno	O=0.9999330043792725|NORM=6.673921598121524e-05
popodne	O=0.9998683929443359|NORM=0.00013096551992930472
možda	O=0.9999412298202515|NORM=5.8449611969990656e-05
kraći	O=0.9999251365661621|NORM=7.468886178685352e-05
grmljavinski	O=0.7569504976272583|NORM=0.24303963780403137
pljusak	O=0.9997652173042297|NORM=0.0002337439073016867
.	O=0.9999895095825195|NORM=9.245703950000461e-06

http://t.co/xxa1k129vh	O=0.9999860525131226|NORM=1.3654318536282517e-05
via	O=0.9997528195381165|NORM=0.00024663403746671975
@volim_meso	O=0.9999312162399292|NORM=6.851523357909173e-05
om	O=0.9967343807220459|NORM=0.003264415543526411
nom	O=0.9867058396339417|NORM=0.013291051611304283
itd	NORM=0.9497432112693787|O=0.050236646085977554
#volimmeso	O=0.9999605417251587|NORM=3.92018337151967e-05

koliko	O=0.9999277591705322|NORM=7.208756869658828e-05
meni	O=0.9999849796295166|NORM=1.475778208259726e-05
fali	O=0.9999421834945679|NORM=5.7221765018766746e-05
igranje	O=0.9999595880508423|NORM=4.0013772377278656e-05
i	O=0.9999805688858032|NORM=1.912285733851604e-05
treniranje	O=0.9999380111694336|NORM=6.140033656265587e-05
nogometa	O=0.9997714161872864|NORM=0.00022719505068380386
to	O=0.9999830722808838|NORM=1.6495021554874256e-05
je	O=0.9999713897705078|NORM=2.8448563170968555e-05
strasno	NORM=0.9971701502799988|O=0.002810866804793477
,	O=0.9999910593032837|NORM=8.045270988077391e-06
a	O=0.9999829530715942|NORM=1.6755466276663356e-05
sad	O=0.999974250793457|NORM=2.5545743483235128e-05
nestignem	O=0.9801315665245056|NORM=0.019847653806209564
.....	O=0.9999825954437256|NORM=1.6932803191593848e-05
#true	O=0.9999929666519165|NORM=6.699681307509309e-06
#miss	O=0.9996746778488159|NORM=0.0003132770652882755
#football	O=0.9999517202377319|NORM=4.248549885232933e-05
#love	O=0.9999864101409912|NORM=1.3000548278796487e-05

mi	O=0.9996010661125183|NORM=0.0003980514011345804
sto	NORM=0.999743640422821|O=0.0002316563914064318
jos	NORM=0.9996733665466309|O=0.00029968624585308135
nesto	NORM=0.9996283054351807|O=0.00035590294282883406
radimo	O=0.9999569654464722|NORM=4.248899858794175e-05
njima	O=0.9999374151229858|NORM=6.212767766555771e-05
je	O=0.9999716281890869|NORM=2.8040361939929426e-05
u	O=0.9999841451644897|NORM=1.5594850992783904e-05
cilju	O=0.9992488026618958|NORM=0.0007475413731299341
da	O=0.9999536275863647|NORM=4.572766556520946e-05
nas	O=0.9999071359634399|NORM=9.237421181751415e-05
kazne	O=0.9998010993003845|NORM=0.00019566381524782628

dijete	O=0.9999343156814575|NORM=6.542018672917038e-05
za	O=0.9999507665634155|NORM=4.8976351536111906e-05
ručkom	O=0.999796450138092|NORM=0.0002030635077971965
primjeti	O=0.9628041982650757|NORM=0.03718971833586693
da	O=0.9999791383743286|NORM=2.0430126824066974e-05
djevojka	O=0.9934437274932861|NORM=0.006548922974616289
njegova	O=0.9999239444732666|NORM=7.574999472126365e-05
brata	O=0.9996732473373413|NORM=0.00032610708149150014
voli	O=0.9999761581420898|NORM=2.3516948203905486e-05
sarmu	O=0.9980210065841675|NORM=0.0019730920903384686
.	O=0.999988317489624|NORM=9.935919479175936e-06

let	O=0.9999814033508301|NORM=1.7692564142635092e-05
the	O=0.9999792575836182|NORM=1.9195258573745377e-05
perfect	O=0.9999698400497437|NORM=2.9785913284285925e-05
christmas	O=0.9991334080696106|NORM=0.0008624611073173583
eve	O=0.9874837398529053|NORM=0.012514139525592327
begin	O=0.9999663829803467|NORM=3.246260530431755e-05
!	O=0.9999924898147583|NORM=5.307736500981264e-06

-	O=0.9999918937683105|NORM=7.071226718835533e-06
moj	O=0.9999822378158569|NORM=1.6996331396512687e-05
prijatelj	O=0.9999665021896362|NORM=3.269126682425849e-05
uvijek	O=0.9999902248382568|NORM=9.08135189092718e-06
nađe	O=0.9999732971191406|NORM=2.5684694264782593e-05
prave	O=0.9999743700027466|NORM=2.5105795430135913e-05
riječi	O=0.9999643564224243|NORM=3.477418431430124e-05
utjehe	O=0.999836802482605|NORM=0.0001620496332179755
za	O=0.9999842643737793|NORM=1.4897722394380253e-05
mene	O=0.9999908208847046|NORM=8.101551429717802e-06

@blueangel1802	O=0.9999918937683105|NORM=7.395656666631112e-06
a	O=0.9999809265136719|NORM=1.8774824638967402e-05
trudim	O=0.9999754428863525|NORM=2.4210183255490847e-05
se	O=0.9999806880950928|NORM=1.9109824279439636e-05
veselit	NORM=0.9998171925544739|O=0.000165146921062842
suncu	O=0.9980295300483704|NORM=0.0019667104352265596
ujutro	O=0.9999790191650391|NORM=2.001371467486024e-05
jer	O=0.9999425411224365|NORM=5.712859638151713e-05
je	O=0.999985933303833|NORM=1.3894242329115514e-05
to	O=0.9999852180480957|NORM=1.4276071851782035e-05
obično	O=0.9999575614929199|NORM=4.2255061998730525e-05
zadnja	O=0.9999388456344604|NORM=6.0980048147030175e-05
prilika	O=0.9999746084213257|NORM=2.509849946363829e-05
za	O=0.9999834299087524|NORM=1.6326939658029005e-05
veselje	O=0.9999246597290039|NORM=7.481208012904972e-05
u	O=0.999976396560669|NORM=2.3252927348949015e-05
danu	O=0.9998028874397278|NORM=0.00019499800691846758
:d	O=0.9999216794967651|NORM=7.681990246055648e-05

""	O=0.9998939037322998|NORM=0.00010140341328224167
mi	O=0.9998921155929565|NORM=0.00010714321251725778
,	O=0.9999641180038452|NORM=3.365751763340086e-05
ujedinjeni	O=0.9999129772186279|NORM=8.677200821693987e-05
narodi	O=0.9999492168426514|NORM=5.041686745244078e-05
,	O=0.9999852180480957|NORM=1.3050855159235653e-05
odlučni	O=0.9998680353164673|NORM=0.00013143492105882615
smo	O=0.9999344348907471|NORM=6.542768096551299e-05
sačuvati	O=0.9999130964279175|NORM=8.611390512669459e-05
buduća	O=0.9996123909950256|NORM=0.0003870961954817176
pokoljenja	O=0.9999279975891113|NORM=7.145542622311041e-05
od	O=0.9999639987945557|NORM=3.569301770767197e-05
užasa	O=0.9998767375946045|NORM=0.0001226161402883008
rata	O=0.9998822212219238|NORM=0.00011446345888543874
