language,system,overall_final_delta_err,overall_final_delta_f1,detector_delta_err,detector_delta_f1,dictionary_source_delta_err,dictionary_source_delta_f1,llm_source_delta_err,llm_source_delta_f1,overall_result
de,new_detector,-0.019473081328751696,-0.026132667725588088,0.004581901489118301,-0.002279376743553163,0.006215527619900851,0.002545477121748241,-0.010824830092951876,-0.01958947734632166,worse
de,new_detector_with_threshold,-0.01030927835051565,-0.020434662027582373,-0.011454753722795252,-0.014136543398320822,-0.029285593649721386,-0.018137571770789784,-0.019887407659900713,-0.022915916058816044,worse
en,new_detector,0.018957345971565176,0.013192219410737116,0.012638230647709525,0.008375404530744146,-0.004321821338992837,-0.0020874647740319885,0.025052366987850946,0.014611761864509187,improved
en,new_detector_with_threshold,0.04265402843601929,0.028686182127133697,0.012638230647709525,0.008375404530744146,-0.039906103286384886,-0.0198611190443162,-0.18071290411715935,-0.01429980276134124,improved
hr,new_detector,0.009506833036244167,-0.0007768643413944565,0.010101010101009833,0.0002176379865176381,0.005180874546217407,0.0025790058274882677,0.038931955211025104,0.012413784176200648,mixed
hr,new_detector_with_threshold,0.012477718360071166,-0.0039120758577770864,-0.004159239453357055,-0.015565001330323569,-0.020446452502201673,-0.010448823524543238,0.06348176970745079,0.027374119259841012,mixed
id,new_detector,0.010209042294603843,0.0063046815386839095,0.0,0.0,0.0,0.0,0.024881516587677704,0.02106579943444331,improved
id,new_detector_with_threshold,0.012639766650461959,0.008819128447127067,0.002916869227029606,0.00168534038067647,-0.0025101681539487775,-0.001262292977666779,0.014923868105273769,0.01527499721474801,improved
iden,new_detector,-0.05299145299145369,-0.025564898577292494,-0.022222222222222254,-0.006629235703292213,0.0006664001066239988,0.0003157806096670823,-0.24978354978354983,-0.12486772486772474,worse
iden,new_detector_with_threshold,-0.013675213675213849,-0.008964473028294173,-0.010256410256410886,-0.00644999910664823,-0.0026481715006304585,-0.0013048848513825817,-0.2512121212121212,-0.14396061454884984,worse
ja,new_detector,0.02635431918008657,0.001906072960237204,0.0571010248901902,0.02545053191982727,0.0034572169403630504,0.0,0.03584349457322797,-0.002510422228028053,improved
ja,new_detector_with_threshold,0.14055636896046705,0.10042677358024549,0.06734992679355689,0.02078018916055102,-0.037611883450771266,-0.025000000000000022,-0.03729745992177762,-0.1559184723204526,improved
ko,new_detector,0.03012048192771042,-0.0639759189383983,-0.012048192771083432,-0.052479210159052214,0.02352941176470591,0.009090909090909038,0.014412416851441234,-0.09599999999999999,mixed
ko,new_detector_with_threshold,0.09036144578313252,-0.0313891651173851,-0.04819277108433745,-0.11420778138377807,0.0,0.0,0.04471544715447151,-0.09599999999999999,mixed
nl,new_detector,-0.020128087831656094,-0.016910054678089148,-0.021957913998170264,-0.01116753077841326,-0.01612296896537313,-0.007401527263782848,-0.02165734053916174,-0.02050867347249008,worse
nl,new_detector_with_threshold,0.02287282708142735,0.02266044027265035,-0.01555352241537089,-0.004944702076774998,-0.05070864312267653,-0.028431131581478253,-0.03992419377180062,-0.01775801821168177,improved
sl,new_detector,-0.004600585529067058,-0.003439655631114924,0.0,0.0,0.0,0.0,-0.011739594450373564,-0.011066267649729067,worse
sl,new_detector_with_threshold,0.03554997908824753,0.03263242929948029,-0.011292346298619749,-0.0022297646778337565,-0.036726631393298126,-0.01863745354332702,-0.0727159514001593,-0.009183674541841103,improved
sr,new_detector,0.008082292432035176,0.00881661603082251,0.008817046289493646,0.009260164338200205,-0.004861928262409387,-0.0023781298896043968,-0.013833479290324635,-0.007473841554558991,improved
sr,new_detector_with_threshold,0.010286554004409254,0.010422060806240085,0.008817046289493646,0.009260164338200205,-0.005329851691083354,-0.002628547367360845,-0.03074679852922524,-0.01795472287275557,improved
th,new_detector,-0.0712468193384227,-0.008214963691553445,-0.039440203562339016,0.004318331001066933,-0.01878394017626628,-0.008723599632690537,-0.13704022149826856,-0.021057497551807358,worse
th,new_detector_with_threshold,0.0941475826972,0.1418667715069335,-0.039440203562339016,0.004318331001066933,-0.14019756838905773,-0.06071591542868726,-0.3252248498107442,0.0008171992454900079,improved
vi,new_detector,0.008907641819034251,0.005950645312197245,0.010782934833567848,0.005973116648122501,-0.0006106694319621964,-0.00031439353137496795,0.011563596402336562,0.008967310078713098,improved
vi,new_detector_with_threshold,0.07688701359587391,0.049664727314989054,0.010782934833567848,0.005973116648122501,-0.05028555594895401,-0.026044334540316183,-0.13778457356439008,-0.08298175100481814,improved
