ker	O
na	O
ut	O
tud	NORM_1WORD
ne	O
pride	O
nazaj	O
,	O
ker	O
vsi	O
govorijo	O
da	O
bo	O
ash	O
starter	O
.	O

@bozopredalic	O
@lisaminausa	O
@krtmen	O
@petra_jansa	O
kva	NORM_1WORD
bi	O
se	O
sekiru	NORM_1WORD
zarad	NORM_1WORD
takih	O
.	O

jet	NORM_1WORD
te	O
pa	O
čakam	O
.....!	O

oče	O
prejema	O
230	O
eurov	NORM_1WORD
socialke	O
vsak	O
mesec	O
,	O
sedaj	O
pa	O
pravi	O
,	O
da	O
mu	O
banka	O
vse	O
pobere	O
in	O
da	O
jih	O
ne	O
zanima	O
,	O
ko	O
jim	O
pravi	O
da	O
tega	O
ne	O
smejo	O
.	O

@simobil	O
hmm	O
,	O
zanimivo	O
,	O
ceprov	NORM_1WORD
vsi	O
opisujejo	O
,	O
da	O
se	O
jim	O
to	O
dogaja	O
na	O
ios	O
8	O
,	O
amm	O
js	NORM_1WORD
sm	NORM_1WORD
se	NORM_1WORD
zmerej	NORM_1WORD
na	O
6-ki	O
🙈	O

js	NORM_1WORD
sm	NORM_1WORD
namreč	O
tud	NORM_1WORD
neki	NORM_1WORD
pobrala	O
,	O
pa	O
sm	NORM_1WORD
zaenkrat	O
samo	O
na	O
čajih	O
,	O
isla	O
mintih	O
,	O
isla	O
gingerjih	O
,	O
medu	O
,	O
limoni	O
.	O

tale	O
je	O
tudi	O
dobra	O
-	O
kontrolni	O
seznami	O
,	O
kako	O
prepoznati	O
posamezne	O
vampirje	O
(	O
na	O
levi	O
strani	O
seznam	O
posameznih	O
)	O

ooo	O
ves	NORM_1WORD
da	O
smo	O
pridne	O
:)	O

a	O
ne	O
bi	O
blo	NORM_1WORD
fino	O
če	O
bi	O
lahko	O
kar	O
zbrisali	O
tiste	O
gene	O
,	O
ki	O
niso	O
glih	O
fajn	O
za	O
podedvat	NORM_1WORD
,	O
a	O
?	O

a	O
prav	O
?	O

@iamanej	O
long	O
story	O
short	O
:	O

kaj	O
bi	O
si	O
mislila	O
šele	O
če	O
bi	O
ji	O
nasproti	O
prišel	O
stephen	O
gough	O
:	O
http://www.mladina.si/161648/ne-goli-po-svetu/	O

če	O
že	O
jem	O
čokolado	O
,	O
pol	NORM_1WORD
temno	O
,	O
kava	O
espresso	O
al	NORM_1WORD
pa	O
max	NORM_1WORD
macchiato	O
,	O
obvezno	O
brez	O
cukra	O

;)	O

a	O
draft	O
(	O
draught	O
)	O
je	O
pretezka	NORM_1WORD
beseda	O
😀😀😀	O

včasih	O
pozabim	O
,	O
da	O
niso	O
vsi	O
na	O
twitterju	O
sharpest	O
tools	O
in	O
the	O
box	O
.	O

mors	NORM_1WORD
narocit	NORM_1WORD
jih	O
u	NORM_1WORD
pisarni	O
hs	O

#lazyday	O
tut	NORM_1WORD
rabiš	O
kdaj	O
met	NORM_1WORD
.	O

ma	O
sej	NORM_1WORD
parter	O
bi	O
se	O
vidu	NORM_1WORD
sam	NORM_1WORD
je	O
drago	O
use	NORM_1WORD
skp	NORM_1WORD
jao	O
kok	NORM_1WORD
težka	O
odločitev	O
xd	O

@p_zoran	O
nope	O
.	O

če	O
bi	O
bil	O
naš	O
namen	O
tako	O
jasen	O
kot	O
trdiš	O
ti	O
potem	O
ta	O
tema	O
nebi	NORM_1WORD
ostajala	NORM_1WORD
!	O

krasna	O
pripovedna	O
slikca	NORM_1WORD
.	O

smo	O
videli	O
pri	O
fructalu	O
kolilko	NORM_1WORD
so	O
drzale	NORM_1WORD
zaveze	O
novih	O
lastnikov	O
.	O

sailor	O
...	O

in	O
ja	O
bil	O
sem	O
nor	O
;)	O

@leiuca	O
če	O
ni	O
v	O
kilah	O
problem	O
,	O
predlagam	O
tek	O
/	O
sprehod	O
v	O
naravi	O
namest	NORM_1WORD
fintessa	NORM_1WORD
:)	O

kaj	O
ti	O
bo	O
ferari	NORM_1WORD
.	O

@leaathenatabako	O
da	O
bi	O
muhe	O
ponoci	NORM_1WORD
spale	O
?	O

mah	O
:	O
hvala	O
.	O

lahko	O
je	O
tudi	O
urejena	O
in	O
tapicirana	NORM_1WORD
kletka	O
:)	O

tabreznogavična	O
...	O

kolko	NORM_1WORD
je	O
blo	NORM_1WORD
onih	O
infomatikov	O
v	O
ju	O
,	O
@petrasovdat	O
?	O

;)	O

elton	O
john	O
res	O
zaspilal	NORM_1WORD
dve	O
uri	O
in	O
pol	O
pa	O
se	NORM_1WORD
mal	NORM_1WORD
cez	NORM_1WORD
....	O

lp	O
matej	O

@davidkovic	O
tko	NORM_1WORD
kot	O
vsi	O
športniki	O
,	O
ko	O
neki	NORM_1WORD
zmagajo	O
?	O

nekateri	O
so	O
že	O
3	O
dan	O
brez	O
štroma	O
in	O
naj	O
spremljajo	O
dogajanje	O
na	O
tw	NORM_1WORD
?!	O

sam	NORM_1WORD
pozdravljam	O
vse	O
,	O
ki	O
me	O
spremljate	O
.	O

@branem	O
@ambrofuzbal	O
@manutd	O
@arsenal	O
dokler	O
dobivamo	O
gole	O
v	O
zadnjih	O
sekundah	O
proti	O
cardiffom	O
,	O
nej	NORM_1WORD
se	O
moyes	O
se	NORM_1WORD
mal	NORM_1WORD
trudi	O
s	O
fanti	O
:)	O

@ninagray_	O
pa	O
sej	NORM_1WORD
češnje	O
se	O
tut	NORM_1WORD
lepo	O
slišjo	NORM_1WORD
:)	O

kot	O
ponavadi	O
.	O

@buneech	O
haha	O
pejt	NORM_1WORD
namest	NORM_1WORD
mene	O
,	O
tele	O
matematicne	NORM_1WORD
/	O
fizikalne	O
kontrolne	O
so	O
obup	O
in	O
groza	O
😭	O

živjo	NORM_1WORD
dekleta	O
še	O
tu	O
se	O
